id,year,issue_d,final_d,emp_length_int,home_ownership,home_ownership_cat,income_category,annual_inc,income_cat,loan_amount,term,term_cat,application_type,application_type_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,region,,
34622770,2014,01-11-2014,1012016,2,RENT,1,Low,30600,1,10000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.39,C,3,15.41,4665.82,3456.67,0,334.01,munster,,
585489,2010,01-09-2010,1022013,9,MORTGAGE,3,Low,78000,1,24000,60 months,2,INDIVIDUAL,1,home_improvement,7,High,2,Bad Loan,1,20.16,G,7,1.82,18764.18,8296.53,923.42,638,ulster,,
2514669,2012,01-12-2012,1022015,10,MORTGAGE,3,Medium,106000,2,24000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,7.62,A,1,20.84,26668.38989,24000,0,747.88,ulster,,
3299800,2013,01-04-2013,1012016,10,RENT,1,Low,65000,1,11650,36 months,1,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,14.33,C,3,13.33,13201.32,10478.02,0,400.04,ulster,,
760526,2011,01-05-2011,1122013,2,RENT,1,Low,56000,1,2000,36 months,1,INDIVIDUAL,1,medical,9,High,2,Good Loan,0,16.89,D,4,22.59,2542.87,2000,0,71.2,ulster,,
6827145,2013,01-09-2013,1032015,9,RENT,1,Low,34000,1,11450,36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Bad Loan,1,11.55,B,2,28.34,6797.85,5230.22,0,377.85,cannught,,
8654963,2013,01-11-2013,1112015,10,MORTGAGE,3,Low,65000,1,23275,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,25.99,G,7,22.13,34154.55004,23275,0,696.73,leinster,,
1955212,2012,01-11-2012,1102015,10,MORTGAGE,3,Low,42000,1,10000,36 months,1,INDIVIDUAL,1,home_improvement,7,Low,1,Good Loan,0,10.16,B,2,21.74,11641.05,10000,0,323.43,leinster,,
3643719,2013,01-03-2013,1012016,3,OWN,2,Low,35000,1,6400,36 months,1,INDIVIDUAL,1,home_improvement,7,High,2,Good Loan,0,18.49,D,4,17.04,7920.64,5945.02,0,232.96,leinster,,
1488703,2012,01-09-2012,1032014,0.5,RENT,1,Low,32000,1,1500,36 months,1,INDIVIDUAL,1,major_purchase,8,Low,1,Good Loan,0,11.14,B,2,11.89,1697.924308,1500,0,49.21,Northern-Irl,,
9746284,2013,01-12-2013,1022015,8,MORTGAGE,3,Low,30000,1,10375,36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,10.99,B,2,18.28,11532.83,10375,0,339.62,cannught,,
1570810,2012,01-10-2012,1102015,6.05,RENT,1,Low,35100,1,12250,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.31,C,3,16,15353.93522,12250,0,426.52,cannught,,
2219164,2012,01-12-2012,1082014,10,OWN,2,Low,52000,1,10075,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,11.14,B,2,22.22,11503.28361,10075,0,330.52,munster,,
1115290,2012,01-01-2012,1082012,10,MORTGAGE,3,Low,80000,1,13000,36 months,1,INDIVIDUAL,1,car,2,Low,1,Good Loan,0,6.03,A,1,18.83,13367.13,13000,0,395.67,munster,,
5770459,2013,01-06-2013,1082014,0.5,MORTGAGE,3,Low,60000,1,14600,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Bad Loan,1,13.11,B,2,22.7,8246.78,5007.68,1353.64,492.71,leinster,,
26138306,2014,01-08-2014,1012016,4,MORTGAGE,3,Low,68400,1,8000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.99,B,2,28.99,4190.08,3234.23,0,261.88,munster,,
30235152,2014,01-10-2014,1122015,6.05,MORTGAGE,3,Low,50000,1,10000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,16.29,D,4,33.1,4919.52,3326.24,0,353.01,cannught,,
1562538,2012,01-10-2012,1012016,10,MORTGAGE,3,Low,62000,1,24375,60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,19.72,D,4,32.34,25015.12,13041.48,0,642,leinster,,
1208605,2012,01-04-2012,1022014,10,RENT,1,Low,65000,1,2200,36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,7.9,A,1,19.57,2432.08,2200,0,68.84,ulster,,
8984694,2013,01-11-2013,1012016,4,RENT,1,Low,85000,1,16000,60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,14.3,C,3,27.87,9369.54,5325.5,0,374.79,Northern-Irl,,
1368230,2012,01-06-2012,1072015,10,MORTGAGE,3,Low,50000,1,6000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,6.03,A,1,3.65,6573.55611,6000,0,182.62,Northern-Irl,,
29514038,2014,01-10-2014,1012016,5,RENT,1,Low,28000,1,7750,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.15,B,2,29.75,3759.3,2946.56,0,250.62,leinster,,
6718123,2013,01-08-2013,1042015,4,MORTGAGE,3,Low,75000,1,30000,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,16.78,C,3,14.96,19946.95,7378.11,5119.47,742.04,Northern-Irl,,
7378069,2013,01-09-2013,1032015,8,MORTGAGE,3,Low,42000,1,18250,60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Bad Loan,1,17.76,D,4,32.4,10906.46,3905.43,2608.23,461.06,Northern-Irl,,
803977,2011,01-07-2011,1072014,5,MORTGAGE,3,Low,42000,1,6000,36 months,1,INDIVIDUAL,1,car,2,Low,1,Good Loan,0,5.42,A,1,4.4,6513.553825,6000,0,180.96,ulster,,
3845339,2013,01-04-2013,1112015,1,MORTGAGE,3,Low,40000,1,7950,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,11.14,B,2,25.32,9359.500001,7950,0,260.81,munster,,
7065192,2013,01-09-2013,1032015,10,MORTGAGE,3,Low,57000,1,20000,36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,10.64,B,2,18.8,22605.0243,20000,0,651.37,ulster,,
547251,2010,01-07-2010,1082013,8,RENT,1,Low,100000,1,25000,36 months,1,INDIVIDUAL,1,other,4,High,2,Good Loan,0,15.58,D,4,20.78,31444.64,24999.99,0,873.76,leinster,,
3806250,2013,01-03-2013,1122015,2,MORTGAGE,3,Low,58000,1,6500,36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,8.9,A,1,11.83,6804,5884.33,0,206.4,Northern-Irl,,
1864775,2012,01-11-2012,1022014,10,MORTGAGE,3,Low,45000,1,4800,36 months,1,INDIVIDUAL,1,major_purchase,8,Low,1,Good Loan,0,12.12,B,2,15.41,5403.15,4800,0,159.71,munster,,
3368048,2013,01-02-2013,1082013,2,MORTGAGE,3,Low,77000,1,12000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,13.11,B,2,11.12,12741.07,12000,0,404.97,Northern-Irl,,
7083139,2013,01-09-2013,1092014,4,OWN,2,Low,65000,1,6000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,7.9,A,1,20.16,6401.367417,6000,0,187.75,cannught,,
4786369,2013,01-05-2013,1102015,3,MORTGAGE,3,Low,26000,1,5250,36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,10.16,B,2,13.48,6076.510667,5250,0,169.8,cannught,,
5619356,2013,01-06-2013,1072015,9,MORTGAGE,3,Low,65000,1,10000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,11.14,B,2,19.91,11647.28,10000,0,328.06,munster,,
6552637,2013,01-08-2013,1092014,2,MORTGAGE,3,Low,59000,1,23800,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,16.78,C,3,16.37,10001.22,3317.95,2937.24,588.68,munster,,
34752726,2014,01-11-2014,1122015,0.5,RENT,1,Low,49464,1,14975,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.99,D,4,13.57,6823.38,4606.18,0,526.41,leinster,,
460545,2009,01-11-2009,1052012,2,RENT,1,Low,65500,1,20000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,13.22,C,3,9.07,24073.64,20000,0,676.02,leinster,,
993964,2011,01-10-2011,1112014,10,MORTGAGE,3,Low,48000,1,7000,36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,6.62,A,1,16,7736.092664,7000,0,214.93,Northern-Irl,,
7689069,2013,01-10-2013,1082015,4,MORTGAGE,3,Low,76800,1,20000,36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,9.25,A,1,19.83,22501.10878,20000,0,638.33,ulster,,
5154588,2013,01-05-2013,1122013,7,RENT,1,Low,31500,1,5725,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,14.33,C,3,28.04,6170.22,5725,0,196.59,ulster,,
15431041,2014,01-10-2014,1022015,5,MORTGAGE,3,Medium,115600,2,35000,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,20.99,E,5,21.45,37566.01,35000,0,946.68,cannught,,
3097320,2013,01-01-2013,1062014,8,RENT,1,Medium,125000,2,35000,36 months,1,INDIVIDUAL,1,credit_card,1,High,2,Bad Loan,1,15.31,C,3,30.56,22613.82,13596.26,3055.85,1218.61,Northern-Irl,,
31487421,2014,01-11-2014,1012016,10,MORTGAGE,3,Medium,166000,2,25000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,13.35,C,3,17.01,10968.33,7902.32,0,846.57,leinster,,
1359692,2012,01-06-2012,1012016,6,MORTGAGE,3,Low,54000,1,16950,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,19.22,D,4,20.2,18546.1,10086.25,0,441.75,Northern-Irl,,
806771,2011,01-07-2011,1032013,6,MORTGAGE,3,Medium,120000,2,30000,36 months,1,INDIVIDUAL,1,other,4,High,2,Bad Loan,1,16.49,D,4,12.17,20176.39,13976.98,0,1061.99,munster,,
28252193,2014,01-10-2014,1012016,1,MORTGAGE,3,Low,63900,1,6000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,14.99,C,3,25.78,3119.55,2179.58,0,207.97,leinster,,
36980380,2014,01-12-2014,1012016,2,RENT,1,Low,43000,1,1000,36 months,1,INDIVIDUAL,1,other,4,High,2,Good Loan,0,14.99,C,3,15.99,464.04,310.63,0,34.67,leinster,,
31537616,2014,01-10-2014,1022015,5,MORTGAGE,3,Low,76000,1,25000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,18.99,E,5,25.58,26160.35,25000,0,916.28,ulster,,
32028166,2014,01-10-2014,1022015,10,MORTGAGE,3,Low,80000,1,10000,36 months,1,INDIVIDUAL,1,other,4,High,2,Good Loan,0,13.98,C,3,10.78,10460.01,10000,0,341.68,cannught,,
675685,2011,01-02-2011,1012016,3,RENT,1,Low,60000,1,25000,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.65,D,4,18.05,34967.71,23802.9,0,603.32,ulster,,
496695,2010,01-03-2010,1122011,7,RENT,1,Low,34000,1,10000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,14.22,C,3,17.22,11823.77,10000,0,342.85,ulster,,
7375701,2013,01-10-2013,1122015,10,RENT,1,Low,53000,1,10000,36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,11.99,B,2,9.26,8634.48,6854.54,0,332.1,Northern-Irl,,
31347197,2014,01-10-2014,1122015,10,RENT,1,Low,58000,1,16300,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,20.99,E,5,6.08,8594.25,5166.66,0,614.02,munster,,
8998262,2013,01-11-2013,1122015,10,MORTGAGE,3,Low,75689,1,14575,60 months,2,INDIVIDUAL,1,other,4,High,2,Good Loan,0,22.4,E,5,31.77,10146.45,4213.44,0,405.87,leinster,,
33050008,2014,01-10-2014,1072015,10,RENT,1,Low,34500,1,5000,36 months,1,INDIVIDUAL,1,home_improvement,7,Low,1,Bad Loan,1,12.99,C,3,14.68,1343.99,950.01,0,168.45,Northern-Irl,,
30335406,2014,01-10-2014,1012016,0.5,RENT,1,Low,43000,1,8125,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,13.98,C,3,14.7,4157.99,2979.97,0,277.62,Northern-Irl,,
6889596,2013,01-09-2013,1012016,0.5,RENT,1,Low,33510,1,10500,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.88,C,3,22.58,10311.44,7715.24,0,368.53,ulster,,
1256234,2012,01-05-2012,1022013,3,OWN,2,Low,80000,1,14500,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,16.29,C,3,9.41,16112.08,14500,0,511.86,Northern-Irl,,
1624129,2012,01-10-2012,1122014,10,MORTGAGE,3,Low,54000,1,24250,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,19.72,D,4,23.04,31410.49546,24250,0,897.77,munster,,
7315118,2013,01-10-2013,1122015,6.05,MORTGAGE,3,Low,67140,1,30000,60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,18.55,D,4,11.44,40525.17994,30000,0,770.81,leinster,,
32419114,2014,01-10-2014,1122015,10,MORTGAGE,3,Low,86500,1,13400,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,14.49,C,3,32.63,6434.95,4536.64,0,461.18,ulster,,
1568925,2012,01-10-2012,1052014,5,RENT,1,Medium,110000,2,35000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.31,C,3,25.7,41671.50707,35000,0,1218.61,Northern-Irl,,
8276062,2013,01-10-2013,1122015,7,RENT,1,Low,65000,1,15000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,17.76,D,4,14.68,14052.38,10010.34,0,540.49,cannught,,
29224152,2014,01-10-2014,1012016,2,MORTGAGE,3,Low,60000,1,10000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,6.03,A,1,7.54,4565.4,3948.69,0,304.36,Northern-Irl,,
2014869,2012,01-11-2012,1112015,10,MORTGAGE,3,Medium,110000,2,6000,36 months,1,INDIVIDUAL,1,wedding,5,Low,1,Good Loan,0,7.62,A,1,6.33,6730.845839,6000,0,186.97,cannught,,
837281,2011,01-08-2011,1032013,9,MORTGAGE,3,Low,100000,1,30000,60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,22.11,G,7,8.6,39513.51,30000,0,830.45,Northern-Irl,,
1106439,2012,01-02-2012,1042012,7,MORTGAGE,3,Low,84000,1,35000,60 months,2,INDIVIDUAL,1,home_improvement,7,Low,1,Bad Loan,1,11.71,B,2,2.71,2738.62,867,1193.54,773.44,ulster,,
10014675,2013,01-12-2013,1122015,7,RENT,1,Medium,103000,2,10000,60 months,2,INDIVIDUAL,1,moving,10,High,2,Good Loan,0,16.24,C,3,10.98,5866.56,3069.92,0,244.46,Northern-Irl,,
10166868,2013,01-12-2013,1012016,0.5,MORTGAGE,3,Low,72000,1,30000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.99,B,2,24.25,23565.4,18886.09,0,982.02,cannught,,
34342326,2014,01-11-2014,1052015,9,MORTGAGE,3,Medium,180000,2,19875,60 months,2,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,12.39,C,3,28.8,21232,19875,0,446.04,leinster,,
6326943,2013,01-07-2013,1122015,10,MORTGAGE,3,Low,90000,1,28000,36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,12.35,B,2,18.78,27105.8,21718.33,0,934.69,leinster,,
1498398,2012,01-09-2012,1112013,10,MORTGAGE,3,Low,93000,1,15250,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,18.75,D,4,17.05,18101.16,15250,0,557.08,leinster,,
1416565,2012,01-07-2012,1032014,10,MORTGAGE,3,Low,80000,1,20000,60 months,2,INDIVIDUAL,1,home_improvement,7,High,2,Good Loan,0,18.75,D,4,7.46,25338.5444,20000,0,516.07,Northern-Irl,,
3375401,2013,01-03-2013,1112015,5,RENT,1,Medium,192000,2,10000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.12,B,2,8,11947.9,10000,0,332.72,cannught,,
5650529,2013,01-06-2013,1012016,3,OWN,2,Low,30000,1,8000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.16,B,2,12.28,8020.94,6738.57,0,258.74,Northern-Irl,,
514640,2010,01-05-2010,1082011,2,RENT,1,Low,60000,1,15000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.99,B,2,6.94,16614.79,15000,0,491.01,ulster,,
660367,2011,01-01-2011,1022014,0.5,RENT,1,Low,62040,1,13400,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,13.06,C,3,18.84,16263.54,13400,0,451.89,leinster,,
8960418,2013,01-11-2013,1122015,7,RENT,1,Low,58450,1,9000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.99,B,2,22.92,7360.9,5927.52,0,294.61,cannught,,
3637249,2013,01-03-2013,1012016,1,RENT,1,Low,70000,1,24000,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,19.72,D,4,33.01,20876.06,10298.27,0,632.12,munster,,
28462649,2014,01-10-2014,1012016,9,MORTGAGE,3,Medium,110000,2,14500,60 months,2,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,11.67,B,2,11.2,4802.1,2877.76,0,320.14,Northern-Irl,,
34783518,2014,01-11-2014,1062015,10,MORTGAGE,3,Medium,112000,2,35000,60 months,2,INDIVIDUAL,1,home_improvement,7,High,2,Bad Loan,1,21.99,E,5,1.39,6701.15,2404.66,0,966.47,cannught,,
3486267,2013,01-03-2013,1072015,10,MORTGAGE,3,Low,97000,1,35000,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,21,E,5,7.81,49694.38278,35000,0,946.87,ulster,,
3700088,2013,01-03-2013,1122015,0.5,MORTGAGE,3,Medium,110000,2,2400,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.31,C,3,29.48,2757.26,2155.55,0,83.57,leinster,,
1249449,2012,01-04-2012,1022015,7,MORTGAGE,3,Low,35880,1,7400,36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,13.11,B,2,19.33,8976.805078,7400,0,249.73,cannught,,
7388485,2013,01-09-2013,1032015,8,MORTGAGE,3,Low,67000,1,29700,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,16.2,C,3,29.73,16733.35,9114.84,2921.6,1047.1,Northern-Irl,,
6595771,2013,01-08-2013,1012016,1,MORTGAGE,3,Low,65000,1,10000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.22,C,3,6.57,10079,7681.53,0,347.74,Northern-Irl,,
4374613,2013,01-04-2013,1122015,3,OWN,2,Medium,110000,2,16550,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.12,B,2,5.61,17620.8,14402.08,0,550.65,ulster,,
3239568,2013,01-01-2013,1092013,10,RENT,1,Low,67200,1,1800,36 months,1,INDIVIDUAL,1,major_purchase,8,High,2,Good Loan,0,18.49,D,4,29.09,2005.09,1800,0,65.52,ulster,,
34943936,2014,01-11-2014,1012016,7,RENT,1,Low,90000,1,20000,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.99,D,4,19.79,6677.25,3357.85,0,486.26,Northern-Irl,,
630137,2010,01-12-2010,1092011,6.05,RENT,1,Low,53000,1,12000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Bad Loan,1,12.98,C,3,15.42,3631.14,2574.53,0,404.22,Northern-Irl,,
1052181,2011,01-12-2011,1122013,6,MORTGAGE,3,Low,33280,1,12000,60 months,2,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,8.9,A,1,9.3,13781.9,12000,0,248.52,leinster,,
7685274,2013,01-10-2013,1082014,2,RENT,1,Low,30000,1,9950,36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,11.99,B,2,22.36,10837.42246,9950,0,330.44,cannught,,
1098006,2012,01-01-2012,1012013,0.5,RENT,1,Low,48000,1,23275,36 months,1,INDIVIDUAL,1,car,2,High,2,Good Loan,0,19.91,E,5,6.95,27348.8,23275,0,863.92,ulster,,
35893861,2014,01-11-2014,1122015,10,RENT,1,Low,34999,1,15000,60 months,2,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,12.39,C,3,27.13,4350.51,2515.02,0,336.64,munster,,
1109555,2012,01-01-2012,1092013,10,RENT,1,Low,80000,1,25000,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,14.65,C,3,14.86,17024.25,6051.38,5812.92,590.17,cannught,,
587135,2011,01-01-2011,1032013,1,RENT,1,Low,49000,1,7000,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,18.17,F,6,2.35,4629.33,1989.69,286.34,178.41,leinster,,
6568343,2013,01-08-2013,1052015,6,RENT,1,Low,59000,1,18000,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.88,C,3,16.9,21068.51142,18000,0,436.58,Northern-Irl,,
34061937,2014,01-11-2014,1012016,5,RENT,1,Low,60000,1,15000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,8.19,A,1,21.7,6592.36,5401.48,0,471.37,ulster,,
1508539,2012,01-09-2012,1112013,1,RENT,1,Low,19500,1,3225,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Bad Loan,1,7.9,A,1,28.12,1410.36,1162.59,0,100.92,Northern-Irl,,
24735540,2014,01-08-2014,1122015,4,MORTGAGE,3,Low,50000,1,14400,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,16.99,D,4,16.25,8213.28,5513.35,0,513.33,cannught,,
3725173,2013,01-03-2013,1012016,0.5,RENT,1,Low,80000,1,9200,36 months,1,INDIVIDUAL,1,small_business,3,High,2,Bad Loan,1,18.75,D,4,7.85,528.55,0,528.55,336.08,Northern-Irl,,
642483,2010,01-12-2010,1072011,10,RENT,1,Low,50000,1,20000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,20.4,G,7,12.86,5306.33,2548.51,787.43,747.36,ulster,,
6084693,2013,01-07-2013,1122015,6,MORTGAGE,3,Low,98900,1,35000,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,25.83,G,7,18.44,30274.65,11548.93,0,1044.4,leinster,,
8064978,2013,01-10-2013,1122015,8,OWN,2,Low,86000,1,35000,36 months,1,INDIVIDUAL,1,home_improvement,7,High,2,Good Loan,0,18.55,D,4,29.26,33150.36,23270.28,0,1275.02,ulster,,
3675969,2013,01-03-2013,1122013,10,MORTGAGE,3,Low,90000,1,28000,60 months,2,INDIVIDUAL,1,credit_card,1,High,2,Good Loan,0,19.05,D,4,23.09,31817.36,28000,0,727.11,cannught,,
798501,2011,01-07-2011,1112012,0.5,MORTGAGE,3,Low,60000,1,8500,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.59,B,2,5.76,9476.57,8500,0,276.64,leinster,,
34452983,2014,01-11-2014,1082015,1,MORTGAGE,3,Low,69000,1,14400,36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,6.49,A,1,21.4,15054.77,14400,0,441.29,leinster,,
1615648,2012,01-10-2012,1102015,7,MORTGAGE,3,Low,53000,1,14300,36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,15.31,C,3,9.6,17923.84397,14300,0,497.89,leinster,,
35803816,2014,01-11-2014,1122015,10,MORTGAGE,3,Medium,125000,2,24000,60 months,2,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.49,B,2,6.4,6676.65,4192.66,0,515.74,Northern-Irl,,
6525337,2013,01-08-2013,1012016,5,MORTGAGE,3,Medium,110000,2,15000,36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,8.9,A,1,22.45,13808.26,11759.26,0,476.3,munster,,
4285466,2013,01-04-2013,1072015,5,RENT,1,Low,48000,1,14600,60 months,2,INDIVIDUAL,1,debt_consolidation,6,High,2,Bad Loan,1,19.05,D,4,10.55,9848.84,4694.15,0,379.14,Northern-Irl,,
